,composition
0,Hg0.7Cd0.3Te
2,LuP
4,ZnO
6,ZnIn2S4
2552,InSe
2554,ThOS
2555,Tl4Nb2S11
2556,SmTe
2557,Hg4As2.5InBr3.5
2558,Li4.5Fe0.5TeO6
2559,Bi25FeO39
2561,CdO
2562,Bi2Te0.1Se2.9
2563,PbSbBS4
2564,ZnGa2Se4
2566,Pb10B3O13Br3
2567,AgGaS2
2568,AgBiP2S6
2569,SrThP2S8
2570,UO2
2571,CuGaSe2
2572,DyB6
2573,K1.25Pb3.5Bi7.25Se15
2574,K2Cd2Te3
2575,Gd4GaSbS9
2578,CdSiAs2
2579,ZnS
2581,PbBiBO4
2584,BaGa2SiS6
2585,BaF2
2586,BaTiO3
2587,AlB12
2588,RbAg2TeS6
2589,Ba3P3O10Cl
2590,Sm2Mn3Sb4S12
2592,CdS0.35Se0.65
2593,CoAs3
2594,GeSe2O6
2595,RbPSe6
2596,Cu3ErTe3
2597,KTaO3
2598,SnS
2600,In0.9As0.9Cd0.1Te0.1
2601,CsZn4In5Se12
2602,Na2KSb
2603,Pb0.9Sn0.1Se
2604,RbF
2605,InP
2606,PbI2
2607,SbSeI
2608,LiZnN
2610,CsBi3Se5
2612,Bi12PO20
2613,TlInSe2
2615,AgGaSe2
2616,LiNbO3
2618,CuCdInSe3
2620,Co2Te3O8
2621,Li4SrB2O6
2623,K4GeSe4
2624,CdCl2
2625,AlB12
2626,Na4MgGe2Se6
2627,AgI
2628,TaON
2629,Ba3BSbSe6
2630,EuLu2Se4
2631,GaP
2633,Na4MgSi2Se6
2634,CaSe
2635,CsCeHgSe3
2636,PbGa2GeSe6
2637,In0.96As0.96Cd0.04Te0.04
2638,CsCu2AsS3
2641,SrTiO3
2642,InP2S4
2643,Ga0.8Sb0.8Cd0.2Te0.2
2644,EuSb2S4
2645,BaGa4Se7
2646,KRbBi8Se13
2647,In0.4Al0.6P
2648,K8Ga8Si38
2649,CuFeSe2
2650,Cd3As2
2651,La3Te4
2652,Rh2S3
2653,Ga1.01Sb0.99Te0.03
2654,In0.4P0.4Ga0.6As0.6
2655,GaSe
2656,GaAs
2657,Sb2Te3
