,composition,Eg (eV)
0,Hg0.7Cd0.3Te,0.35
2,LuP,1.3
4,ZnO,3.44
6,ZnIn2S4,2.68
2552,InSe,1.35
2554,ThOS,2.22
2555,Tl4Nb2S11,1.8
2556,SmTe,0.22
2557,Hg4As2.5InBr3.5,1.71
2558,Li4.5Fe0.5TeO6,3.25
2559,Bi25FeO39,2.8
2561,CdO,2.3
2562,Bi2Te0.1Se2.9,0.78
2563,PbSbBS4,1.8
2564,ZnGa2Se4,1.72
2566,Pb10B3O13Br3,3.25
2567,AgGaS2,2.62
2568,AgBiP2S6,1.7
2569,SrThP2S8,3.02
2570,UO2,2.18
2571,CuGaSe2,1.7
2572,DyB6,3.3
2573,K1.25Pb3.5Bi7.25Se15,0.53
2574,K2Cd2Te3,1.93
2575,Gd4GaSbS9,2.41
2578,CdSiAs2,1.47
2579,ZnS,3.88
2581,PbBiBO4,3.2
2584,BaGa2SiS6,3.75
2585,BaF2,9.06
2586,BaTiO3,3.13
2587,AlB12,2.5
2588,RbAg2TeS6,2.04
2589,Ba3P3O10Cl,6.89
2590,Sm2Mn3Sb4S12,1.5
2592,CdS0.35Se0.65,1.93
2593,CoAs3,0.4
2594,GeSe2O6,5.27
2595,RbPSe6,2.18
2596,Cu3ErTe3,0.24
2597,KTaO3,3.5
2598,SnS,1.09
2600,In0.9As0.9Cd0.1Te0.1,0.69
2601,CsZn4In5Se12,1.61
2602,Na2KSb,1.1
2603,Pb0.9Sn0.1Se,0.12
2604,RbF,10.4
2605,InP,1.26
2606,PbI2,2.32
2607,SbSeI,1.63
2608,LiZnN,1.91
2610,CsBi3Se5,0.43
2612,Bi12PO20,3.25
2613,TlInSe2,1.12
2615,AgGaSe2,1.8
2616,LiNbO3,4.3
2618,CuCdInSe3,1.66
2620,Co2Te3O8,3.6
2621,Li4SrB2O6,6.67
2623,K4GeSe4,0.64
2624,CdCl2,5.7
2625,AlB12,1.96
2626,Na4MgGe2Se6,2.53
2627,AgI,2.82
2628,TaON,2.4
2629,Ba3BSbSe6,1.89
2630,EuLu2Se4,1.7
2631,GaP,2.74
2633,Na4MgSi2Se6,2.85
2634,CaSe,4.87
2635,CsCeHgSe3,1.94
2636,PbGa2GeSe6,1.96
2637,In0.96As0.96Cd0.04Te0.04,0.69
2638,CsCu2AsS3,2.3
2641,SrTiO3,3
2642,InP2S4,2.42
2643,Ga0.8Sb0.8Cd0.2Te0.2,0.8
2644,EuSb2S4,1.2
2645,BaGa4Se7,2.64
2646,KRbBi8Se13,0.64
2647,In0.4Al0.6P,2.3
2648,K8Ga8Si38,1.18
2649,CuFeSe2,0.16
2650,Cd3As2,0.13
2651,La3Te4,0.43
2652,Rh2S3,0.8
2653,Ga1.01Sb0.99Te0.03,0.68
2654,In0.4P0.4Ga0.6As0.6,1.74
2655,GaSe,2.13
2656,GaAs,1.52
2657,Sb2Te3,0.21
2658,Er2Mo3O12,1.04
